Unnamed: 0,id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
108,2100182591,man,good no adverse circumstances were found,"correct, appropriate",another situation
109,2100182636,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
110,2100182664,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
111,2100182670,Woman,good no adverse circumstances were found,Side impact,crossing just in front of or behind a parked vehicle
112,2100182697,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
113,2100182748,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
114,2100182751,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,another situation
115,2100182753,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
116,2100182763,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
117,2100182826,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
118,2100182829,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
119,2100182840,another group,not detected,,another situation
120,2100182904,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
121,2100182912,man,"inattention, distraction",Side impact,crossing at a marked crossing
122,2100182923,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
123,2100182939,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
124,2100182949,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
125,2100182984,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,crossing at a marked crossing
126,2100183000,Woman,"inattention, distraction",sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a vehicle at a bus stop
127,2100183005,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
128,2100183009,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
129,2100183045,another group,not detected,,another situation
130,2100183081,Woman,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,another situation
131,2100183107,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
132,2100183119,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
133,2100183183,man,good no adverse circumstances were found,"correct, appropriate",another situation
134,2100183282,child (up to 15 years),"inattention, distraction",Side impact,pedestrian entering on the STOP signal
135,2100183351,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
136,2100183354,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
137,2100183378,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
138,2100183410,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
139,2100183468,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
140,2100183502,Woman,"inattention, distraction",,walking on the right side
141,2100183533,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
142,2100183698,man,"inattention, distraction",sudden entry into the road from a boarding or dividing island,another situation
143,2100183752,man,good no adverse circumstances were found,"correct, appropriate",another situation
144,2100183769,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,pedestrian entering on the STOP signal
145,2100183787,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
146,2100183817,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
147,2100183847,man,good no adverse circumstances were found,"correct, appropriate",another situation
148,2100183863,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
149,2100183943,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
150,2100183991,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
151,2100184086,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
152,2100184094,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
153,2100184112,man,not detected,,another situation
154,2100184128,another group,not detected,,another situation
155,2100184183,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
156,2100184191,Woman,"inattention, distraction",Side impact,crossing at a marked crossing
157,2100184208,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
158,2100184265,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
159,2100184292,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
160,2100184374,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden entry into the road from a boarding or dividing island,pedestrian entering on the STOP signal
161,2100184376,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
162,2100184377,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
163,2100184400,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
164,2100184430,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
165,2100184436,another group,not detected,,another situation
166,2100184444,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
167,2100184573,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
168,2100184607,another group,not detected,,another situation
169,2100184622,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170,2100184623,man,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
171,2100184676,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
172,2100184686,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entry on the signal FREE
173,2100184706,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
174,2100184786,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
175,2100184850,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
176,2100184906,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
177,2100184909,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
178,2100184913,man,"inattention, distraction",sudden change in walking direction,another situation
179,2100185004,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
180,2100185005,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
181,2100185065,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
182,2100185159,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
183,2100185162,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
184,2100185167,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
185,2100185234,Woman,"inattention, distraction",sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a vehicle at a bus stop
186,2100185292,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"confused, hasty, indecisive behaviour",another situation
187,2100185296,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
188,2100185398,another group,not detected,,another situation
189,2100185438,another group,not detected,,another situation
190,2100185443,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
191,2100185581,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
192,2100185593,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
193,2100185615,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
194,2100185658,Woman,"inattention, distraction",sudden entry into the road from a boarding or dividing island,another situation
195,2100185690,another group,not detected,,crossing at a marked crossing
196,2100185706,man,good no adverse circumstances were found,"correct, appropriate",another situation
197,2100185777,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
198,2100185783,Woman,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,"walking, standing on the pavement"
199,2100185796,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
200,2100185798,man,not detected,,pedestrian entering on the STOP signal
201,2100185800,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
202,2100185831,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
203,2100185841,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
204,2100185845,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
205,2100185892,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
206,2100185894,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
207,2100186030,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
208,2100186102,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
209,2100186108,man,good no adverse circumstances were found,"correct, appropriate",another situation
210,2100186109,child (up to 15 years),good no adverse circumstances were found,,pedestrian entering on the STOP signal
211,2100186131,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
212,2100186179,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
213,2100186182,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
214,2100186228,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
215,2100186277,Woman,"inattention, distraction",,pedestrian entering on the STOP signal
216,2100186289,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
217,2100186339,another group,not detected,,another situation
218,2100186346,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
219,2100186349,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
220,2100186377,man,"inattention, distraction",sudden entry into the road from a boarding or dividing island,another situation
221,2100186391,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
222,2100186398,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"confused, hasty, indecisive behaviour",another situation
223,2100186399,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entering on the STOP signal
224,2100186415,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
225,2100186479,man,"inattention, distraction",sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a vehicle at a bus stop
226,2100186484,man,not detected,,another situation
227,2100186522,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
228,2100186556,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
229,2100186585,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",another situation
230,2100186600,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
231,2100186629,another group,not detected,,another situation
232,2100186650,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",another situation
233,2100186671,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
234,2100186746,man,good no adverse circumstances were found,"correct, appropriate",another situation
235,2100186832,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
236,2100186855,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
237,2100186867,man,good no adverse circumstances were found,"correct, appropriate",another situation
238,2100186870,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
239,2100186882,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
240,2100186887,another group,not detected,,another situation
241,2100186893,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
242,2100186942,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
243,2100187018,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
244,2100187026,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
245,2100187027,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
246,2100187028,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
247,2100187038,another group,not detected,,another situation
248,2100187087,Woman,not detected,poor estimation of the distance and speed of the vehicle,crossing just in front of or behind a parked vehicle
249,2100187120,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
250,2100187139,Woman,not detected,,another situation
251,2100187141,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,walking on the wrong side
252,2100187171,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
253,2100187228,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
254,2100187274,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
255,2100187325,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,another situation
256,2100187425,another group,not detected,,another situation
257,2100187433,another group,not detected,,another situation
258,2100187468,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
259,2100187547,man,"inattention, distraction","correct, appropriate",another situation
260,2100187550,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
261,2100187668,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,crossing at a marked crossing
262,2100187688,another group,not detected,,another situation
263,2100187771,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,pedestrian entry on the signal FREE
264,2100187777,another group,not detected,,another situation
265,2100187879,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
266,2100187951,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
267,2100187964,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
268,2100187985,another group,not detected,,another situation
269,2100187993,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
270,2100188063,another group,not detected,,another situation
271,2100188092,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
272,2100188126,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
273,2100188223,Woman,"inattention, distraction",Side impact,crossing just in front of or behind a parked vehicle
274,2100188307,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
275,2100188318,man,good no adverse circumstances were found,,another situation
276,2100188359,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
277,2100188403,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
278,2100188446,man,good no adverse circumstances were found,,another situation
279,2100188449,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
280,2100188464,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
281,2100188501,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
282,2100188564,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entering on the STOP signal
283,2100188575,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
284,2100188615,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
285,2100188616,another group,not detected,,another situation
286,2100188679,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,sudden entry into the road from a boarding or dividing island,crossing at a marked crossing
287,2100188704,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
288,2100188742,another group,not detected,,another situation
289,2100188770,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
290,2100188828,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
291,2100188882,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
292,2100188894,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
293,2100189013,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",pedestrian entry on the signal FREE
294,2100189025,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
295,2100189037,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
296,2100189041,child (up to 15 years),"inattention, distraction","confused, hasty, indecisive behaviour",pedestrian entering on the STOP signal
297,2100189092,another group,not detected,,another situation
298,2100189145,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
299,2100189173,man,good no adverse circumstances were found,"correct, appropriate",another situation
300,2100189186,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
301,2100189198,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
